condition,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,key_instruct.started,Instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,resp.started,ITI.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,resp.stopped,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.05734280031174421,0.09599830023944378,15.059619800187647,space,14.947557299863547,None,,,,,,,,,,,,,,,,,001,1,0,2023-10-25_15h56.35.345,simon_task,2023.2.2,60.284107025594494,2023-10-25 15h56.48.443277 +0100,
incongruent,X,0,0,0,0,15.09012160031125,,,,,,,,15.064424300100654,15.065335500054061,15.065353200305253,15.09012160031125,15.09012160031125,15.09012160031125,15.274749299976975,16.074411700014025,16.0909162000753,16.0909162000753,16.0909162000753,17.074460200034082,17.07465839991346,None,0,,001,1,0,2023-10-25_15h56.35.345,simon_task,2023.2.2,60.284107025594494,2023-10-25 15h56.48.443277 +0100,
congruent,X,0,1,1,1,17.090913500171155,,,,,,,,17.075440000277013,17.076216800138354,17.07624620012939,17.090913500171155,17.090913500171155,17.090913500171155,17.290389200206846,18.09072449989617,18.09072449989617,18.09072449989617,18.09072449989617,19.090542499907315,19.074589100200683,None,0,19.090542499907315,001,1,0,2023-10-25_15h56.35.345,simon_task,2023.2.2,60.284107025594494,2023-10-25 15h56.48.443277 +0100,
incongruent,O,0,2,2,2,19.090542499907315,,,,,,,,19.07504939986393,19.07532129995525,19.07533790031448,19.090542499907315,19.090542499907315,19.090542499907315,19.2743405001238,20.090670000296086,20.090670000296086,20.090670000296086,20.090670000296086,21.09055759990588,21.07507270015776,None,0,21.074349800124764,001,1,0,2023-10-25_15h56.35.345,simon_task,2023.2.2,60.284107025594494,2023-10-25 15h56.48.443277 +0100,
congruent,O,0,3,3,3,21.09055759990588,,,,,,,,21.07551970006898,21.076018000021577,21.07603790005669,21.09055759990588,21.09055759990588,21.09055759990588,21.291447900235653,22.09101379988715,22.09101379988715,22.09101379988715,22.09101379988715,23.090000600088388,23.07537190010771,None,0,23.090000600088388,001,1,0,2023-10-25_15h56.35.345,simon_task,2023.2.2,60.284107025594494,2023-10-25 15h56.48.443277 +0100,
incongruent,X,1,0,4,0,23.090000600088388,,,,,,,,23.075814899988472,23.076309100259095,23.07633120007813,23.090000600088388,23.090000600088388,23.090000600088388,23.290206000208855,24.09055310022086,24.09055310022086,24.09055310022086,24.09055310022086,25.09027069993317,25.07472230028361,None,0,25.09027069993317,001,1,0,2023-10-25_15h56.35.345,simon_task,2023.2.2,60.284107025594494,2023-10-25 15h56.48.443277 +0100,
congruent,X,1,1,5,1,25.09027069993317,,,,,,,,25.075238100253046,25.075806600041687,25.07582930009812,25.09027069993317,25.09027069993317,25.09027069993317,25.28994490019977,26.090211499948055,26.090211499948055,26.090211499948055,26.090211499948055,27.090159399900585,27.074847999960184,None,0,27.090159399900585,001,1,0,2023-10-25_15h56.35.345,simon_task,2023.2.2,60.284107025594494,2023-10-25 15h56.48.443277 +0100,
incongruent,O,1,2,6,2,27.090159399900585,,,,,,,,27.07535389997065,27.075926400255412,27.075950500089675,27.090159399900585,27.090159399900585,27.090159399900585,27.290050600189716,28.090361000038683,28.090361000038683,28.090361000038683,28.090361000038683,29.09032230032608,29.074690000154078,None,0,29.09032230032608,001,1,0,2023-10-25_15h56.35.345,simon_task,2023.2.2,60.284107025594494,2023-10-25 15h56.48.443277 +0100,
congruent,O,1,3,7,3,29.09032230032608,,,,,,,,29.0751318000257,29.0755135002546,29.07552930014208,29.09032230032608,29.09032230032608,29.09032230032608,29.289659600239247,30.090338800102472,30.090338800102472,30.090338800102472,30.090338800102472,31.09015080006793,31.07468210021034,None,0,31.09015080006793,001,1,0,2023-10-25_15h56.35.345,simon_task,2023.2.2,60.284107025594494,2023-10-25 15h56.48.443277 +0100,
