condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,left_image.started,right_image.started,resp.started,ITI.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,left_image.stopped,right_image.stopped,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,trial_instructions.started,key_instruct_2.started,trial_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
congruent,O,4,1,9,1,,,,,24.09882859978825,,,,,,,,24.082444299943745,24.082911499775946,24.08292829990387,24.09882859978825,24.09882859978825,24.09882859978825,24.09882859978825,24.09882859978825,24.282456600107253,25.582435099873692,25.598930399864912,25.598930399864912,25.598930399864912,25.598930399864912,25.598930399864912,26.082029999699444,26.582448199857026,26.566536699887365,None,0,,,,,,,001,1,0,2023-10-26_15h37.15.102,simon_task,2023.2.2,59.488222814246505,2023-10-26 15h37.25.613088 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5670006996952,26.582448199857026,27.452755299862474,space,0.8618581001646817,None,001,1,0,2023-10-26_15h37.15.102,simon_task,2023.2.2,59.488222814246505,2023-10-26 15h37.25.613088 +0100,
incongruent,X,,,,,0,0,0,0,27.482869499828666,,,,,,,,27.45698369992897,27.457471299916506,27.457489399705082,27.482869499828666,27.482869499828666,27.482869499828666,27.482869499828666,27.482869499828666,27.66595229972154,28.96538330009207,28.980943699833006,28.980943699833006,28.980943699833006,28.980943699833006,28.980943699833006,29.465729899704456,29.96549759991467,29.949878300074488,None,0,,,,,,,001,1,0,2023-10-26_15h37.15.102,simon_task,2023.2.2,59.488222814246505,2023-10-26 15h37.25.613088 +0100,
congruent,X,,,,,0,1,1,1,29.96549759991467,,,,,,,,29.95052669988945,29.95099169993773,29.951012199744582,29.96549759991467,29.96549759991467,29.96549759991467,29.96549759991467,29.96549759991467,30.1645466000773,31.465722099877894,31.465722099877894,31.465722099877894,31.465722099877894,31.465722099877894,31.465722099877894,31.965121999848634,32.46504799975082,32.4501712997444,None,0,,,,,,,001,1,0,2023-10-26_15h37.15.102,simon_task,2023.2.2,59.488222814246505,2023-10-26 15h37.25.613088 +0100,
incongruent,O,,,,,0,2,2,2,32.46504799975082,,,,,,,,32.45086089987308,32.45145889976993,32.45148260006681,32.46504799975082,32.46504799975082,32.46504799975082,32.46504799975082,32.46504799975082,32.66645559994504,33.948703499976546,33.96514360001311,33.96514360001311,33.96514360001311,33.96514360001311,33.96514360001311,34.464577300008386,34.94874399993569,34.93334379978478,None,0,,,,,,,001,1,0,2023-10-26_15h37.15.102,simon_task,2023.2.2,59.488222814246505,2023-10-26 15h37.25.613088 +0100,
congruent,O,,,,,0,3,3,3,34.94874399993569,,,,,,,,34.93389629991725,34.934479699935764,34.934504699893296,34.94874399993569,34.94874399993569,34.94874399993569,34.94874399993569,34.94874399993569,35.15117649966851,36.448872399982065,36.448872399982065,36.448872399982065,36.448872399982065,36.448872399982065,36.448872399982065,36.965660399757326,37.46364749968052,37.4353855997324,None,0,,,,,,,001,1,0,2023-10-26_15h37.15.102,simon_task,2023.2.2,59.488222814246505,2023-10-26 15h37.25.613088 +0100,
incongruent,X,,,,,1,0,4,0,37.46364749968052,,,,,,,,37.43621539976448,37.43698780005798,37.43702349998057,37.46364749968052,37.46364749968052,37.46364749968052,37.46364749968052,37.46364749968052,37.64975699968636,38.951400300022215,38.96595929982141,38.96595929982141,38.96595929982141,38.96595929982141,38.96595929982141,39.44956529978663,,39.94961640005931,None,0,,,,,,,001,1,0,2023-10-26_15h37.15.102,simon_task,2023.2.2,59.488222814246505,2023-10-26 15h37.25.613088 +0100,
congruent,X,,,,,1,1,5,1,39.96498159971088,,,,,,,,39.95024699997157,39.95110430009663,39.9511305000633,39.96498159971088,39.96498159971088,39.96498159971088,39.96498159971088,39.96498159971088,40.164941099938005,41.46518930001184,41.46518930001184,41.46518930001184,41.46518930001184,41.46518930001184,41.46518930001184,41.965613699983805,42.46481029968709,42.44981569983065,None,0,,,,,,,001,1,0,2023-10-26_15h37.15.102,simon_task,2023.2.2,59.488222814246505,2023-10-26 15h37.25.613088 +0100,
incongruent,O,,,,,1,2,6,2,42.46481029968709,,,,,,,,42.450458500068635,42.451026499737054,42.45105089992285,42.46481029968709,42.46481029968709,42.46481029968709,42.46481029968709,42.46481029968709,42.66689769970253,43.96488989982754,43.96488989982754,43.96488989982754,43.96488989982754,43.96488989982754,43.96488989982754,44.48137940000743,44.96430230000988,44.94930920004845,None,0,,,,,,,001,1,0,2023-10-26_15h37.15.102,simon_task,2023.2.2,59.488222814246505,2023-10-26 15h37.25.613088 +0100,
congruent,O,,,,,1,3,7,3,44.96430230000988,,,,,,,,44.94988719979301,44.950421599671245,44.950446399860084,44.96430230000988,44.96430230000988,44.96430230000988,44.96430230000988,44.96430230000988,45.164740999694914,46.4652497000061,46.4652497000061,46.4652497000061,46.4652497000061,46.4652497000061,46.4652497000061,46.96479790005833,47.46532399998978,47.449300199747086,None,0,,,,,,,001,1,0,2023-10-26_15h37.15.102,simon_task,2023.2.2,59.488222814246505,2023-10-26 15h37.25.613088 +0100,
