condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,left_image.started,right_image.started,resp.started,ITI.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,left_image.stopped,right_image.stopped,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,trial_instructions.started,key_instruct_2.started,trial_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.01578459981828928,0.09848139993846416,1.5847606998868287,space,1.4739219998009503,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,1,0,2023-10-26_15h37.15.102,simon_task,2023.2.2,59.488222814246505,2023-10-26 15h37.25.613088 +0100,
congruent,X,0,0,0,0,,,,,1.6147654997184873,,,,,,,,1.5911174998618662,1.5915119997225702,1.5915326997637749,1.6147654997184873,1.6147654997184873,1.6147654997184873,1.6147654997184873,1.6147654997184873,1.8002947997301817,3.1002279999665916,3.116668799892068,3.116668799892068,3.116668799892068,3.116668799892068,3.116668799892068,3.600468199700117,4.099597599823028,4.084833099972457,None,0,,,,,,,001,1,0,2023-10-26_15h37.15.102,simon_task,2023.2.2,59.488222814246505,2023-10-26 15h37.25.613088 +0100,
congruent,O,0,1,1,1,,,,,4.099597599823028,,,,,,,,4.085763999726623,4.0861919997259974,4.086214799899608,4.099597599823028,4.099597599823028,4.099597599823028,4.099597599823028,4.099597599823028,4.300140999723226,5.599524199962616,5.599524199962616,5.599524199962616,5.599524199962616,5.599524199962616,5.599524199962616,6.099816899746656,6.61551299970597,6.58602669974789,None,0,,,,,,,001,1,0,2023-10-26_15h37.15.102,simon_task,2023.2.2,59.488222814246505,2023-10-26 15h37.25.613088 +0100,
congruent,X,1,0,2,0,,,,,6.61551299970597,,,,,,,,6.586953499820083,6.587665699888021,6.587705499958247,6.61551299970597,6.61551299970597,6.61551299970597,6.61551299970597,6.61551299970597,6.799871699884534,8.099413099698722,8.116073600016534,8.116073600016534,8.116073600016534,8.116073600016534,8.116073600016534,8.600790000054985,9.09965300001204,9.083749100100249,None,0,,,,,,,001,1,0,2023-10-26_15h37.15.102,simon_task,2023.2.2,59.488222814246505,2023-10-26 15h37.25.613088 +0100,
congruent,O,1,1,3,1,,,,,9.09965300001204,,,,,,,,9.08428889978677,9.084809199906886,9.084833399858326,9.09965300001204,9.09965300001204,9.09965300001204,9.09965300001204,9.09965300001204,9.299887700006366,10.59967749984935,10.59967749984935,10.59967749984935,10.59967749984935,10.59967749984935,10.59967749984935,11.099599899724126,11.59954999992624,11.584364499896765,None,0,,,,,,,001,1,0,2023-10-26_15h37.15.102,simon_task,2023.2.2,59.488222814246505,2023-10-26 15h37.25.613088 +0100,
congruent,X,2,0,4,0,,,,,11.59954999992624,,,,,,,,11.584989400114864,11.585684299934655,11.58571849996224,11.59954999992624,11.59954999992624,11.59954999992624,11.59954999992624,11.59954999992624,11.79923539981246,13.099732999689877,13.099732999689877,13.099732999689877,13.099732999689877,13.099732999689877,13.099732999689877,13.599897199776024,14.099372500088066,14.083993999753147,None,0,,,,,,,001,1,0,2023-10-26_15h37.15.102,simon_task,2023.2.2,59.488222814246505,2023-10-26 15h37.25.613088 +0100,
congruent,O,2,1,5,1,,,,,14.099372500088066,,,,,,,,14.084537699818611,14.084853199776262,14.084869700018317,14.099372500088066,14.099372500088066,14.099372500088066,14.099372500088066,14.099372500088066,14.299565500114113,15.599946999922395,15.599946999922395,15.599946999922395,15.599946999922395,15.599946999922395,15.599946999922395,16.099328499753028,16.599023399874568,16.583953899797052,None,0,,,,,,,001,1,0,2023-10-26_15h37.15.102,simon_task,2023.2.2,59.488222814246505,2023-10-26 15h37.25.613088 +0100,
congruent,X,3,0,6,0,,,,,16.599023399874568,,,,,,,,16.58448430011049,16.585115999914706,16.58514059986919,16.599023399874568,16.599023399874568,16.599023399874568,16.599023399874568,16.599023399874568,16.79929539980367,18.09928679978475,18.09928679978475,18.09928679978475,18.09928679978475,18.09928679978475,18.09928679978475,18.60055089974776,19.115218099672347,19.08466719975695,None,0,,,,,,,001,1,0,2023-10-26_15h37.15.102,simon_task,2023.2.2,59.488222814246505,2023-10-26 15h37.25.613088 +0100,
congruent,O,3,1,7,1,,,,,19.115218099672347,,,,,,,,19.085369099862874,19.08610439999029,19.086138899903744,19.115218099672347,19.115218099672347,19.115218099672347,19.115218099672347,19.115218099672347,19.29986729985103,20.599294200073928,20.616101799998432,20.616101799998432,20.616101799998432,20.616101799998432,20.616101799998432,21.09901629993692,21.599167599808425,21.583679599687457,None,0,,,,,,,001,1,0,2023-10-26_15h37.15.102,simon_task,2023.2.2,59.488222814246505,2023-10-26 15h37.25.613088 +0100,
congruent,X,4,0,8,0,,,,,21.599167599808425,,,,,,,,21.5843404000625,21.58485639980063,21.58487939974293,21.599167599808425,21.599167599808425,21.599167599808425,21.599167599808425,21.599167599808425,21.799195799976587,23.09900279995054,23.09900279995054,23.09900279995054,23.09900279995054,23.09900279995054,23.09900279995054,23.599605000112206,24.09882859978825,24.081979000009596,None,0,,,,,,,001,1,0,2023-10-26_15h37.15.102,simon_task,2023.2.2,59.488222814246505,2023-10-26 15h37.25.613088 +0100,
