condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,resp.started,ITI.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,trial_instructions.started,key_instruct_2.started,trial_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.015496999956667423,0.11525929998606443,1.5192836001515388,space,1.3932367004454136,None,,,,,,,,,,,,,,,,,,,,,,,001,1,0,2023-10-26_15h19.43.132,simon_task,2023.2.2,59.57892000914629,2023-10-26 15h19.53.835942 +0100,
congruent,X,0,0,0,0,,,,,1.5492638000287116,,,,,,,,1.5241723000071943,1.5248655998148024,1.52488199993968,1.5492638000287116,1.5492638000287116,1.5492638000287116,1.7342086997814476,3.0340233999304473,3.050554499961436,3.050554499961436,3.050554499961436,3.5345545997843146,4.033619299996644,4.01785479998216,None,0,,,,,,,001,1,0,2023-10-26_15h19.43.132,simon_task,2023.2.2,59.57892000914629,2023-10-26 15h19.53.835942 +0100,
congruent,O,0,1,1,1,,,,,4.033619299996644,,,,,,,,4.018759300000966,4.019203799776733,4.019224199932069,4.033619299996644,4.033619299996644,4.033619299996644,4.234182099811733,5.534201100002974,5.534201100002974,5.534201100002974,5.534201100002974,6.052945000119507,6.533011000137776,6.518164500128478,None,0,,,,,,,001,1,0,2023-10-26_15h19.43.132,simon_task,2023.2.2,59.57892000914629,2023-10-26 15h19.53.835942 +0100,
congruent,X,1,0,2,0,,,,,6.533011000137776,,,,,,,,6.518702500034124,6.519343799911439,6.519374100025743,6.533011000137776,6.533011000137776,6.533011000137776,6.73379010008648,8.033794799819589,8.033794799819589,8.033794799819589,8.033794799819589,8.53315160004422,9.033528000116348,9.018178999889642,None,0,,,,,,,001,1,0,2023-10-26_15h19.43.132,simon_task,2023.2.2,59.57892000914629,2023-10-26 15h19.53.835942 +0100,
congruent,O,1,1,3,1,,,,,9.033528000116348,,,,,,,,9.018671200145036,9.019311199896038,9.019335099961609,9.033528000116348,9.033528000116348,9.033528000116348,9.23336589988321,10.533789199776947,10.533789199776947,10.533789199776947,10.533789199776947,11.034862599801272,11.533410400152206,11.518334399908781,None,0,,,,,,,001,1,0,2023-10-26_15h19.43.132,simon_task,2023.2.2,59.57892000914629,2023-10-26 15h19.53.835942 +0100,
congruent,X,2,0,4,0,,,,,11.533410400152206,,,,,,,,11.51901079993695,11.51955149974674,11.5195790999569,11.533410400152206,11.533410400152206,11.533410400152206,11.733808199875057,13.033512500114739,13.033512500114739,13.033512500114739,13.033512500114739,13.534149100072682,14.033327999990433,14.017884300090373,None,0,,,,,,,001,1,0,2023-10-26_15h19.43.132,simon_task,2023.2.2,59.57892000914629,2023-10-26 15h19.53.835942 +0100,
congruent,O,2,1,5,1,,,,,14.033327999990433,,,,,,,,14.01843099994585,14.019003099761903,14.019025899935514,14.033327999990433,14.033327999990433,14.033327999990433,14.233379399869591,15.534478900022805,15.534478900022805,15.534478900022805,15.534478900022805,16.03349700011313,,16.53283330006525,None,0,,,,,,,001,1,0,2023-10-26_15h19.43.132,simon_task,2023.2.2,59.57892000914629,2023-10-26 15h19.53.835942 +0100,
congruent,X,3,0,6,0,,,,,16.54968630010262,,,,,,,,16.533288899809122,16.533823700156063,16.533840300049633,16.54968630010262,16.54968630010262,16.54968630010262,16.733519400004297,18.03409199975431,18.051259299740195,18.051259299740195,18.051259299740195,18.53415390010923,19.04934119991958,19.019675199873745,None,0,,,,,,,001,1,0,2023-10-26_15h19.43.132,simon_task,2023.2.2,59.57892000914629,2023-10-26 15h19.53.835942 +0100,
congruent,O,3,1,7,1,,,,,19.04934119991958,,,,,,,,19.02070500003174,19.021644600201398,19.021685999818146,19.04934119991958,19.04934119991958,19.04934119991958,19.233511900063604,20.53439649986103,20.55227269977331,20.55227269977331,20.55227269977331,21.0342060001567,,21.533617599867284,None,0,,,,,,,001,1,0,2023-10-26_15h19.43.132,simon_task,2023.2.2,59.57892000914629,2023-10-26 15h19.53.835942 +0100,
congruent,X,4,0,8,0,,,,,21.54960440006107,,,,,,,,21.534283299930394,21.53507750015706,21.535113700199872,21.54960440006107,21.54960440006107,21.54960440006107,21.750040700193495,23.050381800159812,23.050381800159812,23.050381800159812,23.050381800159812,23.549828399904072,24.05010880017653,24.034885100089014,None,0,,,,,,,001,1,0,2023-10-26_15h19.43.132,simon_task,2023.2.2,59.57892000914629,2023-10-26 15h19.53.835942 +0100,
