condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,right_stim.started,text.started,resp.started,text.stopped,ITI.started,fixation_cross.stopped,right_stim.stopped,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.04870119999986855,0.08365699999990284,4.50081739999996,space,4.412499100000105,None,,,,,,,,,,,,,,,,,,,001,1,1,2023-11-10_13h10.55.949,simon_task_simple,2023.2.2,60.12469862497513,2023-11-10 13h11.08.876779 +0000,
congruent,O,0,0,0,1,4.530728599999975,,,,,,,,4.506788599999936,4.507375800000091,4.507399300000088,4.530728599999975,4.530728599999975,4.530728599999975,4.714579400000048,5.531990700000051,6.014833899999985,6.031474200000048,6.031474200000048,6.515832799999998,7.01448809999988,7.00035529999991,None,0,,,001,1,1,2023-11-10_13h10.55.949,simon_task_simple,2023.2.2,60.12469862497513,2023-11-10 13h11.08.876779 +0000,
congruent,O,0,1,1,7,7.01448809999988,,,,,,,,7.001553300000069,7.0021408000000065,7.002175599999873,7.01448809999988,7.01448809999988,7.01448809999988,7.2143700999999965,8.01538400000004,8.515490499999942,8.515490499999942,8.515490499999942,9.015485800000079,9.514638599999898,9.499348999999938,z,0,1.7249799999999595,None,001,1,1,2023-11-10_13h10.55.949,simon_task_simple,2023.2.2,60.12469862497513,2023-11-10 13h11.08.876779 +0000,
congruent,X,0,2,2,0,9.514638599999898,,,,,,,,9.50027,9.500891899999942,9.500921399999925,9.514638599999898,9.514638599999898,9.514638599999898,9.714615500000036,10.515779399999929,11.013802199999873,11.013802199999873,11.013802199999873,11.515084800000068,12.014819400000079,11.999564199999895,z,1,0.16626559999986057,None,001,1,1,2023-11-10_13h10.55.949,simon_task_simple,2023.2.2,60.12469862497513,2023-11-10 13h11.08.876779 +0000,
congruent,O,0,3,3,9,12.014819400000079,,,,,,,,12.000383199999987,12.000963299999967,12.000989699999991,12.014819400000079,12.014819400000079,12.014819400000079,12.213669900000014,13.014484999999922,13.514784100000043,13.514784100000043,13.514784100000043,14.015318499999921,14.515024799999992,14.499254600000086,None,0,,,001,1,1,2023-11-10_13h10.55.949,simon_task_simple,2023.2.2,60.12469862497513,2023-11-10 13h11.08.876779 +0000,
congruent,X,0,4,4,4,14.515024799999992,,,,,,,,14.499968699999954,14.50054399999999,14.500570299999936,14.515024799999992,14.515024799999992,14.515024799999992,14.714648800000077,15.531105799999978,16.01461059999997,16.01461059999997,16.01461059999997,16.51477030000001,17.01434419999987,16.999644799999942,None,0,,,001,1,1,2023-11-10_13h10.55.949,simon_task_simple,2023.2.2,60.12469862497513,2023-11-10 13h11.08.876779 +0000,
congruent,O,0,5,5,5,17.01434419999987,,,,,,,,17.000411400000075,17.00114469999994,17.001176700000087,17.01434419999987,17.01434419999987,17.01434419999987,17.214659400000073,18.01521969999999,18.516248700000006,18.516248700000006,18.516248700000006,19.015296499999977,,19.515865300000087,None,0,,,001,1,1,2023-11-10_13h10.55.949,simon_task_simple,2023.2.2,60.12469862497513,2023-11-10 13h11.08.876779 +0000,
congruent,X,0,6,6,2,19.531604199999947,,,,,,,,19.516738999999916,19.51772660000006,19.51777560000005,19.531604199999947,19.531604199999947,19.531604199999947,19.7314844,20.531586199999992,21.03145040000004,21.03145040000004,21.03145040000004,21.531357500000013,22.03183039999999,22.016760299999987,None,0,,,001,1,1,2023-11-10_13h10.55.949,simon_task_simple,2023.2.2,60.12469862497513,2023-11-10 13h11.08.876779 +0000,
,,,,,,22.03183039999999,,,,,,,,22.01800879999996,22.018888999999945,22.018927099999928,22.03183039999999,22.03183039999999,22.03183039999999,22.231810199999927,,,,,,,,,,,,,,,,,,,,
