condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,left_image.started,right_image.started,resp.started,ITI.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,left_image.stopped,right_image.stopped,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,trial_instructions.started,key_instruct_2.started,trial_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
congruent,O,0,9,9,5,,,,,29.806544200051576,,,,,,,,29.777610399760306,29.7787595000118,29.77880029985681,29.806544200051576,29.806544200051576,29.806544200051576,29.806544200051576,29.806544200051576,29.99152350006625,31.289864900056273,31.30702119972557,31.30702119972557,31.30702119972557,31.30702119972557,31.30702119972557,31.806316799949855,32.28902560006827,32.27444739965722,z,1,0.24888909980654716,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,X,1,0,10,0,,,,,32.28902560006827,,,,,,,,32.27514289971441,32.275831699837,32.27585730003193,32.28902560006827,32.28902560006827,32.28902560006827,32.28902560006827,32.28902560006827,32.490614200010896,33.79009489994496,33.79009489994496,33.79009489994496,33.79009489994496,33.79009489994496,33.79009489994496,34.30639929976314,34.78940449981019,34.774963199626654,m,1,0.09899129997938871,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,X,1,1,11,8,,,,,34.78940449981019,,,,,,,,34.775701199658215,34.776291999965906,34.77631799969822,34.78940449981019,34.78940449981019,34.78940449981019,34.78940449981019,34.78940449981019,34.98991160001606,36.28945520007983,36.28945520007983,36.28945520007983,36.28945520007983,36.28945520007983,36.28945520007983,36.791002499870956,37.28915179986507,37.27379000000656,m,1,0.26418149983510375,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,O,1,2,12,5,,,,,37.28915179986507,,,,,,,,37.274328999686986,37.2747587999329,37.27478459989652,37.28915179986507,37.28915179986507,37.28915179986507,37.28915179986507,37.28915179986507,37.48993859998882,38.789239899721,38.789239899721,38.789239899721,38.789239899721,38.789239899721,38.789239899721,39.28933000005782,39.788989199791104,39.773916999809444,z,1,0.7149847997352481,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,O,1,3,13,1,,,,,39.788989199791104,,,,,,,,39.77464720001444,39.775219900067896,39.77524699969217,39.788989199791104,39.788989199791104,39.788989199791104,39.788989199791104,39.788989199791104,39.98944339994341,41.28906109975651,41.28906109975651,41.28906109975651,41.28906109975651,41.28906109975651,41.28906109975651,41.792088699992746,42.28944549988955,42.27378799999133,z,1,0.31807229993864894,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,X,1,4,14,2,,,,,42.28944549988955,,,,,,,,42.27433519996703,42.274911999702454,42.274933099746704,42.28944549988955,42.28944549988955,42.28944549988955,42.28944549988955,42.28944549988955,42.49034520005807,43.78927549999207,43.78927549999207,43.78927549999207,43.78927549999207,43.78927549999207,43.78927549999207,44.28959219995886,44.7889661998488,44.774058300070465,m,1,0.12189750000834465,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,O,1,5,15,9,,,,,44.7889661998488,,,,,,,,44.7747721998021,44.775280700065196,44.77532019978389,44.7889661998488,44.7889661998488,44.7889661998488,44.7889661998488,44.7889661998488,44.988923999946564,46.289418699685484,46.289418699685484,46.289418699685484,46.289418699685484,46.289418699685484,46.289418699685484,46.78841139981523,47.288790399674326,47.275919099804014,z,1,0.1508690002374351,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,X,1,6,16,4,,,,,47.288790399674326,,,,,,,,47.2766124997288,47.277204799931496,47.27722899988294,47.288790399674326,47.288790399674326,47.288790399674326,47.288790399674326,47.288790399674326,47.48906429996714,48.78900229977444,48.78900229977444,48.78900229977444,48.78900229977444,48.78900229977444,48.78900229977444,49.28890739986673,49.78855900000781,49.77390069980174,m,1,0.12128220032900572,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,X,1,7,17,6,,,,,49.78855900000781,,,,,,,,49.774580399971455,49.775212599895895,49.7752362000756,49.78855900000781,49.78855900000781,49.78855900000781,49.78855900000781,49.78855900000781,49.989353499840945,51.28897409979254,51.28897409979254,51.28897409979254,51.28897409979254,51.28897409979254,51.28897409979254,51.7887793998234,52.28864739974961,52.27356359967962,m,1,0.2507929001003504,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,O,1,8,18,3,,,,,52.28864739974961,,,,,,,,52.27428520005196,52.27487559989095,52.274899600073695,52.28864739974961,52.28864739974961,52.28864739974961,52.28864739974961,52.28864739974961,52.48889989964664,53.78771509975195,53.78771509975195,53.78771509975195,53.78771509975195,53.78771509975195,53.78771509975195,54.28896109992638,54.78876379970461,54.773594699800014,z,1,0.1301575000397861,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,O,1,9,19,7,,,,,54.78876379970461,,,,,,,,54.774336099624634,54.77490559965372,54.77492980007082,54.78876379970461,54.78876379970461,54.78876379970461,54.78876379970461,54.78876379970461,54.98957609990612,56.288905899971724,56.288905899971724,56.288905899971724,56.288905899971724,56.288905899971724,56.288905899971724,56.78874209988862,57.28838189970702,57.27570039965212,z,1,0.1751859998330474,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.27620909968391,57.28838189970702,58.62281830003485,space,1.325983399990946,None,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
incongruent,O,,,,,0,0,0,10,58.653533099684864,,,,,,,,58.62784139998257,58.62836219975725,58.62838470004499,58.653533099684864,58.653533099684864,58.653533099684864,58.653533099684864,58.653533099684864,58.8416844997555,60.137698099948466,60.15506859961897,60.15506859961897,60.15506859961897,60.15506859961897,60.15506859961897,60.65509289968759,61.13783989986405,61.12355519970879,z,1,0.9734259000979364,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
