4.0503 	EXP 	fixation_cross: autoDraw = False
4.0503 	EXP 	left_stim: autoDraw = False
4.0503 	EXP 	right_stim: autoDraw = False
4.0503 	EXP 	ITI: autoDraw = False
4.0503 	EXP 	left_stim: text = ''
4.0503 	EXP 	right_stim: height = 0.1
4.0503 	EXP 	right_stim: height = 0.1
4.0503 	EXP 	right_stim: height = 0.1
4.0503 	EXP 	right_stim: text = 'O'
4.0503 	EXP 	fixation_cross: autoDraw = True
4.0503 	EXP 	left_stim: autoDraw = True
4.0503 	EXP 	right_stim: autoDraw = True
4.4422 	DATA 	Keypress: m
5.0516 	EXP 	fixation_cross: autoDraw = False
5.0516 	EXP 	left_stim: autoDraw = False
5.0516 	EXP 	right_stim: autoDraw = False
5.0516 	EXP 	ITI: autoDraw = True
6.0382 	EXP 	New trial (rep=0, index=3): OrderedDict([('condition', 'congruent'), ('stim', 'O')])
6.0504 	EXP 	ITI: autoDraw = False
6.0504 	EXP 	fixation_cross: autoDraw = False
6.0504 	EXP 	left_stim: autoDraw = False
6.0504 	EXP 	right_stim: autoDraw = False
6.0504 	EXP 	ITI: autoDraw = False
6.0504 	EXP 	left_stim: height = 0.1
6.0504 	EXP 	left_stim: height = 0.1
6.0504 	EXP 	left_stim: height = 0.1
6.0504 	EXP 	left_stim: text = 'O'
6.0504 	EXP 	right_stim: height = 0.1
6.0504 	EXP 	right_stim: height = 0.1
6.0504 	EXP 	right_stim: height = 0.1
6.0504 	EXP 	right_stim: text = ''
6.0504 	EXP 	fixation_cross: autoDraw = True
6.0504 	EXP 	left_stim: autoDraw = True
6.0504 	EXP 	right_stim: autoDraw = True
6.3713 	DATA 	Keypress: m
7.0507 	EXP 	fixation_cross: autoDraw = False
7.0507 	EXP 	left_stim: autoDraw = False
7.0507 	EXP 	right_stim: autoDraw = False
7.0507 	EXP 	ITI: autoDraw = True
8.0371 	EXP 	New trial (rep=1, index=0): OrderedDict([('condition', 'incongruent'), ('stim', 'X')])
8.0505 	EXP 	ITI: autoDraw = False
8.0505 	EXP 	fixation_cross: autoDraw = False
8.0505 	EXP 	left_stim: autoDraw = False
8.0505 	EXP 	right_stim: autoDraw = False
8.0505 	EXP 	ITI: autoDraw = False
8.0505 	EXP 	left_stim: height = 0.1
8.0505 	EXP 	left_stim: height = 0.1
