condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,resp.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,ITI.started,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.008239399990998209,0.1326637000311166,2.327077600057237,space,2.190814199973829,None,,,,,,,,,,,,,,,,,001,1,1,2023-11-10_11h34.50.491,simon_task_simple,2023.2.2,60.06619293118164,2023-11-10 11h34.59.174476 +0000,
congruent,O,0,0,0,9,2.3411928999703377,,,,,,,,2.3317473999923095,2.3323383000679314,2.3323502000421286,2.3411928999703377,2.3411928999703377,2.3411928999703377,2.541717499960214,3.8418551000067964,3.8418551000067964,3.8418551000067964,3.8418551000067964,4.341831900062971,4.842410400044173,4.825889899977483,None,0,001,1,1,2023-11-10_11h34.50.491,simon_task_simple,2023.2.2,60.06619293118164,2023-11-10 11h34.59.174476 +0000,
congruent,O,0,1,1,3,4.842410400044173,,,,,,,,4.826549499994144,4.827084699994884,4.827113599982113,4.842410400044173,4.842410400044173,4.842410400044173,5.041972600040026,6.358437899965793,6.358437899965793,6.358437899965793,6.341376599972136,6.84182770003099,7.341213600011542,7.325551699963398,None,0,001,1,1,2023-11-10_11h34.50.491,simon_task_simple,2023.2.2,60.06619293118164,2023-11-10 11h34.59.174476 +0000,
congruent,X,0,2,2,4,7.341213600011542,,,,,,,,7.3261520999949425,7.326824599993415,7.326850899960846,7.341213600011542,7.341213600011542,7.341213600011542,7.541227699955925,8.841330599971116,8.841330599971116,8.841330599971116,8.841330599971116,9.341425499995239,9.84138930006884,9.825949699967168,None,0,001,1,1,2023-11-10_11h34.50.491,simon_task_simple,2023.2.2,60.06619293118164,2023-11-10 11h34.59.174476 +0000,
congruent,X,0,3,3,2,9.84138930006884,,,,,,,,9.82650810002815,9.827052399981767,9.827077900059521,9.84138930006884,9.84138930006884,9.84138930006884,10.042354900040664,11.34104239998851,11.34104239998851,11.34104239998851,11.34104239998851,11.857731100055389,12.340947999968193,12.32577019999735,None,0,001,1,1,2023-11-10_11h34.50.491,simon_task_simple,2023.2.2,60.06619293118164,2023-11-10 11h34.59.174476 +0000,
congruent,O,0,4,4,7,12.340947999968193,,,,,,,,12.326297500054352,12.326788100064732,12.32681140000932,12.340947999968193,12.340947999968193,12.340947999968193,12.540949400048703,13.84171059995424,13.84171059995424,13.84171059995424,13.84171059995424,14.343045999994501,14.841323300031945,14.825756600010209,None,0,001,1,1,2023-11-10_11h34.50.491,simon_task_simple,2023.2.2,60.06619293118164,2023-11-10 11h34.59.174476 +0000,
congruent,O,0,5,5,5,14.841323300031945,,,,,,,,14.826353800017387,14.826834200066514,14.826857700012624,14.841323300031945,14.841323300031945,14.841323300031945,15.041364200063981,16.34068909997586,16.34068909997586,16.34068909997586,16.34068909997586,16.8406810000306,17.340898200054653,17.325392800034024,None,0,001,1,1,2023-11-10_11h34.50.491,simon_task_simple,2023.2.2,60.06619293118164,2023-11-10 11h34.59.174476 +0000,
congruent,O,0,6,6,1,17.340898200054653,,,,,,,,17.325844099977985,17.32622310006991,17.326243599993177,17.340898200054653,17.340898200054653,17.340898200054653,17.540739099960774,18.840813599992543,18.840813599992543,18.840813599992543,18.840813599992543,19.34054240002297,19.8405228999909,19.82507739996072,None,0,001,1,1,2023-11-10_11h34.50.491,simon_task_simple,2023.2.2,60.06619293118164,2023-11-10 11h34.59.174476 +0000,
congruent,X,0,7,7,6,19.8405228999909,,,,,,,,19.82559909997508,19.826168700004928,19.82619200006593,19.8405228999909,19.8405228999909,19.8405228999909,20.040873700054362,21.341102699982002,21.341102699982002,21.341102699982002,21.341102699982002,21.84057210001629,22.340839999960735,22.326242899987847,None,0,001,1,1,2023-11-10_11h34.50.491,simon_task_simple,2023.2.2,60.06619293118164,2023-11-10 11h34.59.174476 +0000,
congruent,X,0,8,8,0,22.340839999960735,,,,,,,,22.326818100060336,22.32743710000068,22.327464399975725,22.340839999960735,22.340839999960735,22.340839999960735,22.54091750003863,23.875251100049354,23.875251100049354,23.875251100049354,23.875251100049354,24.34083440003451,,24.840361300040968,None,0,001,1,1,2023-11-10_11h34.50.491,simon_task_simple,2023.2.2,60.06619293118164,2023-11-10 11h34.59.174476 +0000,
,,,,,,24.858446300029755,,,,,,,,24.840817600023,24.841454399982467,24.841476100031286,24.858446300029755,24.858446300029755,24.858446300029755,25.04051880002953,,,,,,,,,,,,,,,,,,
