condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,resp.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,ITI.started,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.041288499953225255,0.1269738000119105,9.185407900018618,space,9.053324699983932,None,,,,,,,,,,,,,,,,,,,001,1,0,2023-11-10_11h45.53.949,simon_task_simple,2023.2.2,60.55611098018405,2023-11-10 11h46.04.800369 +0000,
congruent,X,0,0,0,2,9.199373199953698,,,,,,,,9.190397599944845,9.19088200002443,9.190897300024517,9.199373199953698,9.199373199953698,9.199373199953698,9.400402099941857,10.701226299977861,10.701226299977861,10.701226299977861,10.701226299977861,11.200159800006077,11.699778600013815,11.684116999967955,None,0,,,001,1,0,2023-11-10_11h45.53.949,simon_task_simple,2023.2.2,60.55611098018405,2023-11-10 11h46.04.800369 +0000,
congruent,O,0,1,1,1,11.699778600013815,,,,,,,,11.684816399938427,11.685283099999651,11.68530369992368,11.699778600013815,11.699778600013815,11.699778600013815,11.900757499970496,13.199783199932426,13.199783199932426,13.199783199932426,13.199783199932426,13.701243899995461,14.20059499994386,14.18440369993914,None,0,,,001,1,0,2023-11-10_11h45.53.949,simon_task_simple,2023.2.2,60.55611098018405,2023-11-10 11h46.04.800369 +0000,
congruent,O,0,2,2,3,14.20059499994386,,,,,,,,14.18483359995298,14.185256900032982,14.185275999945588,14.20059499994386,14.20059499994386,14.20059499994386,14.400278899935074,15.699677999946289,15.699677999946289,15.699677999946289,15.699677999946289,16.20025999995414,16.699673100025393,16.684066399931908,z,1,1.405843999935314,None,001,1,0,2023-11-10_11h45.53.949,simon_task_simple,2023.2.2,60.55611098018405,2023-11-10 11h46.04.800369 +0000,
congruent,O,0,3,3,7,16.699673100025393,,,,,,,,16.684840800007805,16.68543359998148,16.68544839997776,16.699673100025393,16.699673100025393,16.699673100025393,16.901117999921553,18.199900300009176,18.199900300009176,18.199900300009176,18.199900300009176,18.700033899978735,19.199361399980262,19.184453599969856,m,0,0.023324299952946603,None,001,1,0,2023-11-10_11h45.53.949,simon_task_simple,2023.2.2,60.55611098018405,2023-11-10 11h46.04.800369 +0000,
,,,,,,19.199361399980262,,,,,,,,19.185228499933146,19.18569660000503,19.18574600003194,19.199361399980262,19.199361399980262,19.199361399980262,19.400871800025925,,,,,,,,,,,,,,,,,,,,
