condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,text.started,resp.started,text.stopped,ITI.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.04413909999993848,0.08641099999977087,14.799614099999872,space,14.709205799999836,None,,,,,,,,,,,,,,,,,,,001,1,0,2023-11-10_13h24.21.490,simon_task_simple,2023.2.2,60.25134450883909,2023-11-10 13h24.34.168087 +0000,
congruent,O,0,0,0,9,14.829103099999884,,,,,,,,14.805270100000143,14.806105300000127,14.806124100000034,14.829103099999884,14.829103099999884,14.829103099999884,14.829103099999884,15.012632500000109,15.82972319999999,16.31321119999984,16.33005039999989,16.33005039999989,16.33005039999989,16.813106699999935,17.312993300000016,17.29830959999981,None,0,001,1,0,2023-11-10_13h24.21.490,simon_task_simple,2023.2.2,60.25134450883909,2023-11-10 13h24.34.168087 +0000,
congruent,O,0,1,1,5,17.312993300000016,,,,,,,,17.299331100000018,17.300132699999722,17.300163599999905,17.312993300000016,17.312993300000016,17.312993300000016,17.312993300000016,17.51308659999995,18.31469930000003,18.813888399999996,18.813888399999996,18.813888399999996,18.813888399999996,19.31414169999971,19.82887299999993,19.79836979999982,None,0,001,1,0,2023-11-10_13h24.21.490,simon_task_simple,2023.2.2,60.25134450883909,2023-11-10 13h24.34.168087 +0000,
congruent,X,0,2,2,2,19.82887299999993,,,,,,,,19.799030499999844,19.799684900000102,19.799712200000158,19.82887299999993,19.82887299999993,19.82887299999993,19.82887299999993,20.012666399999944,20.829045899999983,21.31269280000015,21.329666499999803,21.329666499999803,21.329666499999803,21.813727199999903,22.312488399999893,22.29800040000009,None,0,001,1,0,2023-11-10_13h24.21.490,simon_task_simple,2023.2.2,60.25134450883909,2023-11-10 13h24.34.168087 +0000,
congruent,X,0,3,3,8,22.312488399999893,,,,,,,,22.298702999999932,22.2992863999998,22.29931409999972,22.312488399999893,22.312488399999893,22.312488399999893,22.312488399999893,22.5126522999999,23.312043899999935,23.813442499999837,23.813442499999837,23.813442499999837,23.813442499999837,24.31242179999981,24.812845099999777,24.79745449999973,None,0,001,1,0,2023-11-10_13h24.21.490,simon_task_simple,2023.2.2,60.25134450883909,2023-11-10 13h24.34.168087 +0000,
congruent,O,0,4,4,1,24.812845099999777,,,,,,,,24.798023700000158,24.79859899999974,24.798626100000092,24.812845099999777,24.812845099999777,24.812845099999777,24.812845099999777,25.01238209999974,25.812531600000057,26.312664900000073,26.312664900000073,26.312664900000073,26.312664900000073,26.813127099999747,27.31148970000004,27.297931499999777,None,0,001,1,0,2023-11-10_13h24.21.490,simon_task_simple,2023.2.2,60.25134450883909,2023-11-10 13h24.34.168087 +0000,
congruent,X,0,5,5,0,27.31148970000004,,,,,,,,27.29859179999994,27.299046199999793,27.29906919999985,27.31148970000004,27.31148970000004,27.31148970000004,27.31148970000004,27.512437699999737,28.312364999999772,28.81272170000011,28.81272170000011,28.81272170000011,28.81272170000011,29.497081799999705,29.81179609999981,29.79746040000009,None,0,001,1,0,2023-11-10_13h24.21.490,simon_task_simple,2023.2.2,60.25134450883909,2023-11-10 13h24.34.168087 +0000,
congruent,O,0,6,6,3,29.81179609999981,,,,,,,,29.79821630000015,29.798857899999803,29.798887599999944,29.81179609999981,29.81179609999981,29.81179609999981,29.81179609999981,30.012306199999784,30.812395800000104,31.312158700000055,31.312158700000055,31.312158700000055,31.312158700000055,31.81248430000005,32.31184320000011,32.29751119999992,None,0,001,1,0,2023-11-10_13h24.21.490,simon_task_simple,2023.2.2,60.25134450883909,2023-11-10 13h24.34.168087 +0000,
congruent,X,0,7,7,4,32.31184320000011,,,,,,,,32.29822179999974,32.298822799999925,32.29885289999993,32.31184320000011,32.31184320000011,32.31184320000011,32.31184320000011,32.51219839999976,33.311609699999735,33.812477800000124,33.812477800000124,33.812477800000124,33.812477800000124,34.311799600000086,34.81166889999986,34.79663249999976,None,0,001,1,0,2023-11-10_13h24.21.490,simon_task_simple,2023.2.2,60.25134450883909,2023-11-10 13h24.34.168087 +0000,
congruent,X,0,8,8,6,34.81166889999986,,,,,,,,34.797047699999894,34.79753810000011,34.79755530000011,34.81166889999986,34.81166889999986,34.81166889999986,34.81166889999986,35.01179790000015,35.81312459999981,36.31197949999978,36.31197949999978,36.31197949999978,36.31197949999978,36.81180119999999,37.31128089999993,37.296541199999865,None,0,001,1,0,2023-11-10_13h24.21.490,simon_task_simple,2023.2.2,60.25134450883909,2023-11-10 13h24.34.168087 +0000,
congruent,O,0,9,9,7,37.31128089999993,,,,,,,,37.297208800000135,37.29777759999979,37.297800299999835,37.31128089999993,37.31128089999993,37.31128089999993,37.31128089999993,37.51172980000001,38.311828200000036,38.810854299999846,38.810854299999846,38.810854299999846,38.810854299999846,39.31167469999991,39.81120929999997,39.79620960000011,None,0,001,1,0,2023-11-10_13h24.21.490,simon_task_simple,2023.2.2,60.25134450883909,2023-11-10 13h24.34.168087 +0000,
,,,,,,39.81120929999997,,,,,,,,39.79670579999993,39.79710309999973,39.797127400000136,39.81120929999997,39.81120929999997,39.81120929999997,39.81120929999997,40.012147099999765,,,,,,,,,,,,,,,,,,,
