condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,Instruction_image.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,resp.started,ITI.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,trial_instructions.started,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.04591890000119747,0.12078700000165554,0.12078700000165554,8.674235400001635,space,8.548669300000256,None,,,,,,,,,,,,,,,,,,001,1,0,2023-11-10_16h05.13.276,simon_task_simple3,2023.2.2,60.173576698826466,2023-11-10 16h05.22.788073 +0000,
congruent,X,0,0,0,2,8.737768500001039,,,,,,,,,8.680292200000622,8.68064140000024,8.680652800001553,8.737768500001039,8.737768500001039,8.737768500001039,8.888517700001103,10.18842399999994,10.238595700000587,10.238595700000587,10.238595700000587,10.689415600001666,11.18835080000099,11.173644700000295,None,0,,001,1,0,2023-11-10_16h05.13.276,simon_task_simple3,2023.2.2,60.173576698826466,2023-11-10 16h05.22.788073 +0000,
congruent,O,0,1,1,5,11.18835080000099,,,,,,,,,11.174286800000118,11.174676100001307,11.174697500000548,11.18835080000099,11.18835080000099,11.18835080000099,11.388731600000028,12.689087100001416,12.689087100001416,12.689087100001416,12.689087100001416,13.188608300000851,13.688385800000106,13.67362840000169,None,0,,001,1,0,2023-11-10_16h05.13.276,simon_task_simple3,2023.2.2,60.173576698826466,2023-11-10 16h05.22.788073 +0000,
congruent,O,0,2,2,3,13.688385800000106,,,,,,,,,13.67413470000065,13.674641200001133,13.674663200001305,13.688385800000106,13.688385800000106,13.688385800000106,13.888876600000003,15.189160900001298,15.189160900001298,15.189160900001298,15.189160900001298,15.689512900000409,16.188301400001365,16.17246780000096,None,0,,001,1,0,2023-11-10_16h05.13.276,simon_task_simple3,2023.2.2,60.173576698826466,2023-11-10 16h05.22.788073 +0000,
congruent,O,0,3,3,1,16.188301400001365,,,,,,,,,16.17287850000139,16.173313100000087,16.173331800000597,16.188301400001365,16.188301400001365,16.188301400001365,16.388219800001025,17.68850569999995,17.68850569999995,17.68850569999995,17.68850569999995,18.188299900000857,18.687790800000585,18.67224410000017,None,0,,001,1,0,2023-11-10_16h05.13.276,simon_task_simple3,2023.2.2,60.173576698826466,2023-11-10 16h05.22.788073 +0000,
congruent,X,0,4,4,0,18.687790800000585,,,,,,,,,18.67265370000132,18.673092000000906,18.67310980000002,18.687790800000585,18.687790800000585,18.687790800000585,18.88823760000014,20.18934750000153,20.18934750000153,20.18934750000153,20.18934750000153,20.688526200001434,21.187704200001463,21.172671100001025,None,0,,001,1,0,2023-11-10_16h05.13.276,simon_task_simple3,2023.2.2,60.173576698826466,2023-11-10 16h05.22.788073 +0000,
congruent,O,0,5,5,9,21.187704200001463,,,,,,,,,21.173190900000918,21.173675100000764,21.17369730000064,21.187704200001463,21.187704200001463,21.187704200001463,21.38830230000167,22.68883360000109,22.68883360000109,22.68883360000109,22.68883360000109,23.188342900000862,23.688149600000543,23.67218959999991,None,0,,001,1,0,2023-11-10_16h05.13.276,simon_task_simple3,2023.2.2,60.173576698826466,2023-11-10 16h05.22.788073 +0000,
congruent,O,0,6,6,7,23.688149600000543,,,,,,,,,23.672650900000008,23.67308140000023,23.673102100001415,23.688149600000543,23.688149600000543,23.688149600000543,23.88834390000011,25.18831510000018,25.18831510000018,25.18831510000018,25.18831510000018,25.6879583000009,26.187659600000188,26.172346400000606,None,0,,001,1,0,2023-11-10_16h05.13.276,simon_task_simple3,2023.2.2,60.173576698826466,2023-11-10 16h05.22.788073 +0000,
congruent,X,0,7,7,4,26.187659600000188,,,,,,,,,26.17285400000037,26.17341100000158,26.17342980000103,26.187659600000188,26.187659600000188,26.187659600000188,26.38826550000158,27.68783910000093,27.68783910000093,27.68783910000093,27.68783910000093,28.18845490000058,28.687941400001364,28.67252440000084,None,0,,001,1,0,2023-11-10_16h05.13.276,simon_task_simple3,2023.2.2,60.173576698826466,2023-11-10 16h05.22.788073 +0000,
congruent,X,0,8,8,8,28.687941400001364,,,,,,,,,28.673057200001494,28.673623900000166,28.67364820000148,28.687941400001364,28.687941400001364,28.687941400001364,28.888412000000244,30.18842940000104,30.18842940000104,30.18842940000104,30.18842940000104,30.68767310000112,31.187789600000542,31.172126299999945,None,0,,001,1,0,2023-11-10_16h05.13.276,simon_task_simple3,2023.2.2,60.173576698826466,2023-11-10 16h05.22.788073 +0000,
