condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,text.started,resp.started,text.stopped,ITI.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.059915500000045085,0.10827740000001995,1.6247544999999946,space,1.5111337999999819,None,,,,,,,,,,,,,,,,,,,001,1,0,2023-11-10_12h54.49.022,simon_task_simple,2023.2.2,59.59564355845374,2023-11-10 12h55.06.561625 +0000,
congruent,O,0,0,0,7,1.6704679000000056,,,,,,,,1.6516769000000409,1.6523396000000048,1.6523654000000079,1.6704679000000056,1.6704679000000056,1.6704679000000056,1.6704679000000056,1.8549138000000198,2.671654100000012,3.1550836000000118,3.1722723000000315,3.1722723000000315,3.1722723000000315,3.654466300000024,4.154892899999993,4.138499000000024,None,0,001,1,0,2023-11-10_12h54.49.022,simon_task_simple,2023.2.2,59.59564355845374,2023-11-10 12h55.06.561625 +0000,
congruent,O,0,1,1,5,4.154892899999993,,,,,,,,4.139845400000013,4.14034190000001,4.140357700000038,4.154892899999993,4.154892899999993,4.154892899999993,4.154892899999993,4.355019000000027,5.154457800000046,5.654418899999996,5.654418899999996,5.654418899999996,5.654418899999996,6.15477420000002,6.655033200000048,6.639563800000019,None,0,001,1,0,2023-11-10_12h54.49.022,simon_task_simple,2023.2.2,59.59564355845374,2023-11-10 12h55.06.561625 +0000,
congruent,O,0,2,2,3,6.655033200000048,,,,,,,,6.640378499999997,6.641138500000011,6.641175800000042,6.655033200000048,6.655033200000048,6.655033200000048,6.655033200000048,6.854852499999993,7.654166800000041,8.154541600000016,8.154541600000016,8.154541600000016,8.154541600000016,8.654708099999993,9.153926100000035,9.138372800000013,None,0,001,1,0,2023-11-10_12h54.49.022,simon_task_simple,2023.2.2,59.59564355845374,2023-11-10 12h55.06.561625 +0000,
,,,,,,9.153926100000035,,,,,,,,9.138789000000031,9.139224500000012,9.139246600000035,9.153926100000035,9.153926100000035,9.153926100000035,9.153926100000035,9.354415000000017,,,,,,,,,,,,,,,,,,,
