condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,left_image.started,right_image.started,resp.started,ITI.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,left_image.stopped,right_image.stopped,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,trial_instructions.started,key_instruct_2.started,trial_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
congruent,O,4,1,9,1,,,,,23.97593010030687,,,,,,,,23.960723100230098,23.961147600319237,23.961167000234127,23.97593010030687,23.97593010030687,23.97593010030687,23.97593010030687,23.97593010030687,24.175919000059366,25.47682770015672,25.47682770015672,25.47682770015672,25.47682770015672,25.47682770015672,25.47682770015672,25.975838800426573,26.475609300192446,26.460429800208658,None,0,,,,,,,001,1,0,2023-10-26_15h40.32.388,simon_task,2023.2.2,59.40856394677796,2023-10-26 15h40.42.620649 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.460816000122577,26.475609300192446,27.743653300218284,space,1.261678600218147,None,001,1,0,2023-10-26_15h40.32.388,simon_task,2023.2.2,59.40856394677796,2023-10-26 15h40.42.620649 +0100,
incongruent,X,,,,,0,0,0,0,27.758485600352287,,,,,,,,27.747662900015712,27.74812510004267,27.748142500407994,27.758485600352287,27.758485600352287,27.758485600352287,27.758485600352287,27.758485600352287,27.95956420013681,29.259810900315642,29.259810900315642,29.259810900315642,29.259810900315642,29.259810900315642,29.259810900315642,29.760248500388116,30.258956000208855,30.243444800376892,None,0,,,,,,,001,1,0,2023-10-26_15h40.32.388,simon_task,2023.2.2,59.40856394677796,2023-10-26 15h40.42.620649 +0100,
congruent,X,,,,,0,1,1,1,30.258956000208855,,,,,,,,30.244393200147897,30.24500420037657,30.245023100171238,30.258956000208855,30.258956000208855,30.258956000208855,30.258956000208855,30.258956000208855,30.458763500209898,31.759575000032783,31.759575000032783,31.759575000032783,31.759575000032783,31.759575000032783,31.759575000032783,32.26020190026611,32.758928100112826,32.74286890029907,None,0,,,,,,,001,1,0,2023-10-26_15h40.32.388,simon_task,2023.2.2,59.40856394677796,2023-10-26 15h40.42.620649 +0100,
incongruent,O,,,,,0,2,2,2,32.758928100112826,,,,,,,,32.74325030017644,32.743546300102025,32.74356200033799,32.758928100112826,32.758928100112826,32.758928100112826,32.758928100112826,32.758928100112826,32.95900610042736,34.25922520039603,34.25922520039603,34.25922520039603,34.25922520039603,34.25922520039603,34.25922520039603,34.75929340021685,35.274622100405395,35.243519000243396,None,0,,,,,,,001,1,0,2023-10-26_15h40.32.388,simon_task,2023.2.2,59.40856394677796,2023-10-26 15h40.42.620649 +0100,
congruent,O,,,,,0,3,3,3,35.274622100405395,,,,,,,,35.244442100171,35.2448514001444,35.24487490020692,35.274622100405395,35.274622100405395,35.274622100405395,35.274622100405395,35.274622100405395,35.45865740021691,36.75840830011293,36.77538380026817,36.77538380026817,36.77538380026817,36.77538380026817,36.77538380026817,37.2597215003334,37.75890120025724,37.74267620034516,None,0,,,,,,,001,1,0,2023-10-26_15h40.32.388,simon_task,2023.2.2,59.40856394677796,2023-10-26 15h40.42.620649 +0100,
incongruent,X,,,,,1,0,4,0,37.75890120025724,,,,,,,,37.74308120040223,37.74364080000669,37.74365880014375,37.75890120025724,37.75890120025724,37.75890120025724,37.75890120025724,37.75890120025724,37.95843460038304,39.258459800388664,39.258459800388664,39.258459800388664,39.258459800388664,39.258459800388664,39.258459800388664,39.75924690021202,40.25866569997743,40.242891600355506,None,0,,,,,,,001,1,0,2023-10-26_15h40.32.388,simon_task,2023.2.2,59.40856394677796,2023-10-26 15h40.42.620649 +0100,
congruent,X,,,,,1,1,5,1,40.25866569997743,,,,,,,,40.2433692002669,40.24388960003853,40.243911900091916,40.25866569997743,40.25866569997743,40.25866569997743,40.25866569997743,40.25866569997743,40.45808620005846,41.759282200131565,41.759282200131565,41.759282200131565,41.759282200131565,41.759282200131565,41.759282200131565,42.25861070025712,42.75831270031631,42.743323100265115,None,0,,,,,,,001,1,0,2023-10-26_15h40.32.388,simon_task,2023.2.2,59.40856394677796,2023-10-26 15h40.42.620649 +0100,
incongruent,O,,,,,1,2,6,2,42.75831270031631,,,,,,,,42.74402630003169,42.74452930036932,42.744559600017965,42.75831270031631,42.75831270031631,42.75831270031631,42.75831270031631,42.75831270031631,42.958356800023466,44.25902600027621,44.25902600027621,44.25902600027621,44.25902600027621,44.25902600027621,44.25902600027621,44.758981000166386,45.25818490004167,45.24278760002926,None,0,,,,,,,001,1,0,2023-10-26_15h40.32.388,simon_task,2023.2.2,59.40856394677796,2023-10-26 15h40.42.620649 +0100,
congruent,O,,,,,1,3,7,3,45.25818490004167,,,,,,,,45.24328669998795,45.24374660011381,45.24376800004393,45.25818490004167,45.25818490004167,45.25818490004167,45.25818490004167,45.25818490004167,45.458186800125986,46.7580467001535,46.7580467001535,46.7580467001535,46.7580467001535,46.7580467001535,46.7580467001535,47.258376200217754,47.75877539999783,47.742371200118214,None,0,,,,,,,001,1,0,2023-10-26_15h40.32.388,simon_task,2023.2.2,59.40856394677796,2023-10-26 15h40.42.620649 +0100,
