condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,resp.started,ITI.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,ITI.stopped,resp.stopped,simon_trial.stopped,resp.keys,resp.corr,trial_instructions.started,key_instruct_2.started,trial_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
congruent,X,2,1,9,1,,,,,21.73542210040614,,,,,,,,21.720529300160706,21.721280300058424,21.721306400373578,21.73542210040614,21.73542210040614,21.73542210040614,21.93524830043316,22.73568780021742,22.73568780021742,22.73568780021742,22.73568780021742,23.73577960021794,23.73577960021794,23.720095800235868,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
incongruent,O,2,2,10,2,,,,,23.73577960021794,,,,,,,,23.720655400305986,23.721170900389552,23.721189300063998,23.73577960021794,23.73577960021794,23.73577960021794,23.935450800228864,24.735373500268906,24.735373500268906,24.735373500268906,24.735373500268906,25.73552260035649,25.73552260035649,25.720422600395977,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
congruent,O,2,3,11,3,,,,,25.73552260035649,,,,,,,,25.72105440031737,25.721642900258303,25.721671200357378,25.73552260035649,25.73552260035649,25.73552260035649,25.9354610000737,26.74178760033101,26.74178760033101,26.74178760033101,26.74178760033101,,27.73552280012518,27.735694900155067,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
incongruent,X,3,0,12,0,,,,,27.752367299981415,,,,,,,,27.736282100435346,27.737024900037795,27.737050500232726,27.752367299981415,27.752367299981415,27.752367299981415,27.95216380013153,28.751817100215703,28.751817100215703,28.751817100215703,28.751817100215703,29.75217070011422,29.75217070011422,29.73602860001847,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
congruent,X,3,1,13,1,,,,,29.75217070011422,,,,,,,,29.736561099998653,29.736991700250655,29.73701350018382,29.75217070011422,29.75217070011422,29.75217070011422,29.935379000380635,30.75238270033151,30.75238270033151,30.75238270033151,30.75238270033151,31.751637700013816,31.735130900051445,31.73592620017007,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
incongruent,O,3,2,14,2,,,,,31.751637700013816,,,,,,,,31.736335900146514,31.736758599989116,31.736781700048596,31.751637700013816,31.751637700013816,31.751637700013816,31.952157500199974,32.75200220011175,32.75200220011175,32.75200220011175,32.75200220011175,33.751964800059795,33.751964800059795,33.735705700237304,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
congruent,O,3,3,15,3,,,,,33.751964800059795,,,,,,,,33.73607250023633,33.736537400167435,33.73655330017209,33.751964800059795,33.751964800059795,33.751964800059795,33.951124200131744,34.75197900040075,34.75197900040075,34.75197900040075,34.75197900040075,35.751738500315696,35.751738500315696,35.73635370004922,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
incongruent,X,4,0,16,0,,,,,35.751738500315696,,,,,,,,35.736983000300825,35.737501400057226,35.737525400239974,35.751738500315696,35.751738500315696,35.751738500315696,35.951908600050956,36.7519596000202,36.7519596000202,36.7519596000202,36.7519596000202,37.7674872004427,37.7674872004427,37.7375905001536,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
congruent,X,4,1,17,1,,,,,37.7674872004427,,,,,,,,37.73841430013999,37.739198200404644,37.739231400191784,37.7674872004427,37.7674872004427,37.7674872004427,37.952767100185156,38.75172260031104,38.76819410035387,38.76819410035387,38.76819410035387,39.751718000043184,,39.751898700371385,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
incongruent,O,4,2,18,2,,,,,39.768096200190485,,,,,,,,39.752475700341165,39.75321190012619,39.75323730008677,39.768096200190485,39.768096200190485,39.768096200190485,39.96843650005758,40.767794200219214,40.767794200219214,40.767794200219214,40.767794200219214,41.767980800010264,41.767980800010264,41.75239390041679,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
