condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,resp.started,ITI.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.06075319999990825,0.1575511999999435,4.79617559999997,space,4.628413599999931,None,,,,,,,,,,,,,,,,,001,1,1,2023-11-10_13h33.16.687,simon_task_simple,2023.2.2,60.43113992466727,2023-11-10 13h33.30.377089 +0000,
congruent,O,0,0,0,9,4.8271043999998255,,,,,,,,4.802415099999962,4.802877699999954,4.802893200000199,4.8271043999998255,4.8271043999998255,4.8271043999998255,5.012231600000177,6.311672899999849,6.3278401000002304,6.3278401000002304,6.3278401000002304,6.811431099999936,7.312065000000075,7.29633610000019,None,0,001,1,1,2023-11-10_13h33.16.687,simon_task_simple,2023.2.2,60.43113992466727,2023-11-10 13h33.30.377089 +0000,
congruent,O,0,1,1,5,7.312065000000075,,,,,,,,7.297235999999884,7.297932500000115,7.297961799999939,7.312065000000075,7.312065000000075,7.312065000000075,7.511204100000214,8.811905099999876,8.811905099999876,8.811905099999876,8.811905099999876,9.311473100000057,9.811062400000083,9.796185600000172,None,0,001,1,1,2023-11-10_13h33.16.687,simon_task_simple,2023.2.2,60.43113992466727,2023-11-10 13h33.30.377089 +0000,
congruent,X,0,2,2,8,9.811062400000083,,,,,,,,9.796836099999837,9.7974549999999,9.797483899999861,9.811062400000083,9.811062400000083,9.811062400000083,10.010961299999963,11.310722499999883,11.310722499999883,11.310722499999883,11.310722499999883,11.811771300000146,12.310972600000241,12.295851599999878,None,0,001,1,1,2023-11-10_13h33.16.687,simon_task_simple,2023.2.2,60.43113992466727,2023-11-10 13h33.30.377089 +0000,
congruent,O,0,3,3,3,12.310972600000241,,,,,,,,12.29650589999983,12.297134599999936,12.297163000000182,12.310972600000241,12.310972600000241,12.310972600000241,12.511653600000045,13.811960099999851,13.811960099999851,13.811960099999851,13.811960099999851,14.311760699999923,14.81089830000019,14.79621619999989,None,0,001,1,1,2023-11-10_13h33.16.687,simon_task_simple,2023.2.2,60.43113992466727,2023-11-10 13h33.30.377089 +0000,
congruent,X,0,4,4,0,14.81089830000019,,,,,,,,14.796974400000181,14.797684600000139,14.797714899999846,14.81089830000019,14.81089830000019,14.81089830000019,15.010956500000248,16.311159899999893,16.311159899999893,16.311159899999893,16.311159899999893,16.811538100000234,17.311733399999866,17.296394099999816,None,0,001,1,1,2023-11-10_13h33.16.687,simon_task_simple,2023.2.2,60.43113992466727,2023-11-10 13h33.30.377089 +0000,
congruent,X,0,5,5,6,17.311733399999866,,,,,,,,17.29756320000024,17.298655500000223,17.298701900000196,17.311733399999866,17.311733399999866,17.311733399999866,17.51196280000022,18.811411900000166,18.811411900000166,18.811411900000166,18.811411900000166,19.312482100000125,19.811603399999967,19.796602299999904,None,0,001,1,1,2023-11-10_13h33.16.687,simon_task_simple,2023.2.2,60.43113992466727,2023-11-10 13h33.30.377089 +0000,
congruent,X,0,6,6,2,19.811603399999967,,,,,,,,19.797568800000136,19.798442499999965,19.798479399999906,19.811603399999967,19.811603399999967,19.811603399999967,20.01141920000009,21.311659299999974,21.311659299999974,21.311659299999974,21.311659299999974,21.811501600000156,,22.311372699999993,None,0,001,1,1,2023-11-10_13h33.16.687,simon_task_simple,2023.2.2,60.43113992466727,2023-11-10 13h33.30.377089 +0000,
congruent,O,0,7,7,1,22.327906699999858,,,,,,,,22.31217319999996,22.31308059999992,22.313128499999948,22.327906699999858,22.327906699999858,22.327906699999858,22.528308700000252,23.82815840000012,23.82815840000012,23.82815840000012,23.82815840000012,24.327767499999936,24.826985199999854,24.81311199999982,None,0,001,1,1,2023-11-10_13h33.16.687,simon_task_simple,2023.2.2,60.43113992466727,2023-11-10 13h33.30.377089 +0000,
congruent,X,0,8,8,4,24.826985199999854,,,,,,,,24.813978099999986,24.814902099999927,24.814938800000164,24.826985199999854,24.826985199999854,24.826985199999854,25.026370900000074,26.32705810000016,26.32705810000016,26.32705810000016,26.32705810000016,26.82753730000013,27.326634300000023,27.311607699999968,None,0,001,1,1,2023-11-10_13h33.16.687,simon_task_simple,2023.2.2,60.43113992466727,2023-11-10 13h33.30.377089 +0000,
congruent,O,0,9,9,7,27.326634300000023,,,,,,,,27.312096499999825,27.312469299999975,27.312488999999914,27.326634300000023,27.326634300000023,27.326634300000023,27.52659840000024,28.827203100000133,28.827203100000133,28.827203100000133,28.827203100000133,29.3269307999999,29.828248000000258,29.811925599999995,None,0,001,1,1,2023-11-10_13h33.16.687,simon_task_simple,2023.2.2,60.43113992466727,2023-11-10 13h33.30.377089 +0000,
congruent,X,1,0,10,8,29.828248000000258,,,,,,,,29.812513500000023,29.813098000000082,29.8131228000002,29.828248000000258,29.828248000000258,29.828248000000258,30.026861599999847,31.326803299999938,31.34297259999994,31.34297259999994,31.34297259999994,31.82772759999989,32.32691490000025,32.31152920000022,None,0,001,1,1,2023-11-10_13h33.16.687,simon_task_simple,2023.2.2,60.43113992466727,2023-11-10 13h33.30.377089 +0000,
