condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,text.started,resp.started,text.stopped,ITI.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.05442350008524954,0.09083180001471192,3.2038478000322357,space,3.0984318000264466,None,,,,,,,,,,,,,,,,,,,001,1,0,2023-11-10_12h43.09.984,simon_task_simple,2023.2.2,59.91751753113244,2023-11-10 12h43.21.560277 +0000,
congruent,O,0,0,0,1,3.234706500079483,,,,,,,,3.209325100062415,3.209638200001791,3.209654300007969,3.234706500079483,3.234706500079483,3.234706500079483,3.234706500079483,3.4193479000823572,4.235667400062084,4.71938740008045,4.735545100062154,4.735545100062154,4.735545100062154,5.21928449999541,5.719240800011903,5.703132700058632,None,0,001,1,0,2023-11-10_12h43.09.984,simon_task_simple,2023.2.2,59.91751753113244,2023-11-10 12h43.21.560277 +0000,
congruent,X,0,1,1,0,5.719240800011903,,,,,,,,5.7036845000693575,5.704081500065513,5.704097700072452,5.719240800011903,5.719240800011903,5.719240800011903,5.719240800011903,5.91948390007019,6.718984100036323,7.219396600034088,7.219396600034088,7.219396600034088,7.219396600034088,7.719323500059545,8.218910100054927,8.202930400031619,None,0,001,1,0,2023-11-10_12h43.09.984,simon_task_simple,2023.2.2,59.91751753113244,2023-11-10 12h43.21.560277 +0000,
congruent,O,0,2,2,5,8.218910100054927,,,,,,,,8.20343460002914,8.203851300058886,8.203873099992052,8.218910100054927,8.218910100054927,8.218910100054927,8.218910100054927,8.419136100099422,9.218958500074223,9.718671700102277,9.718671700102277,9.718671700102277,9.718671700102277,10.218782700016163,10.7189759000903,10.703463500016369,None,0,001,1,0,2023-11-10_12h43.09.984,simon_task_simple,2023.2.2,59.91751753113244,2023-11-10 12h43.21.560277 +0000,
congruent,X,0,3,3,2,10.7189759000903,,,,,,,,10.703878600033931,10.704220100073144,10.704237800091505,10.7189759000903,10.7189759000903,10.7189759000903,10.7189759000903,10.919129600049928,11.718495100038126,12.218691100017168,12.218691100017168,12.218691100017168,12.218691100017168,12.718707900028676,13.219368200050667,13.202551900059916,None,0,001,1,0,2023-11-10_12h43.09.984,simon_task_simple,2023.2.2,59.91751753113244,2023-11-10 12h43.21.560277 +0000,
congruent,X,0,4,4,4,13.219368200050667,,,,,,,,13.202943000011146,13.203226700075902,13.203243700088933,13.219368200050667,13.219368200050667,13.219368200050667,13.219368200050667,13.418572900001891,14.219014800037257,14.718672899995,14.718672899995,14.718672899995,14.718672899995,15.218722500023432,15.718737500021234,15.702972700004466,None,0,001,1,0,2023-11-10_12h43.09.984,simon_task_simple,2023.2.2,59.91751753113244,2023-11-10 12h43.21.560277 +0000,
congruent,O,0,5,5,9,15.718737500021234,,,,,,,,15.703633000026457,15.704051500069909,15.704068700084463,15.718737500021234,15.718737500021234,15.718737500021234,15.718737500021234,15.918526699999347,16.71857440005988,17.21852430002764,17.21852430002764,17.21852430002764,17.21852430002764,17.718484400073066,18.218232000013813,18.20241920009721,None,0,001,1,0,2023-11-10_12h43.09.984,simon_task_simple,2023.2.2,59.91751753113244,2023-11-10 12h43.21.560277 +0000,
congruent,X,0,6,6,6,18.218232000013813,,,,,,,,18.20299260003958,18.203480100026354,18.20350290008355,18.218232000013813,18.218232000013813,18.218232000013813,18.218232000013813,18.418635300011374,19.218400400015526,19.71823520003818,19.71823520003818,19.71823520003818,19.71823520003818,20.218771300045773,20.718586800037883,20.70198100002017,None,0,001,1,0,2023-11-10_12h43.09.984,simon_task_simple,2023.2.2,59.91751753113244,2023-11-10 12h43.21.560277 +0000,
congruent,O,0,7,7,3,20.718586800037883,,,,,,,,20.702493200078607,20.702854600036517,20.702873400063254,20.718586800037883,20.718586800037883,20.718586800037883,20.718586800037883,20.901472500059754,21.718545000068843,22.202190400101244,22.21890890004579,22.21890890004579,22.21890890004579,22.702413100050762,23.201587700052187,23.185716600040905,None,0,001,1,0,2023-11-10_12h43.09.984,simon_task_simple,2023.2.2,59.91751753113244,2023-11-10 12h43.21.560277 +0000,
congruent,X,0,8,8,8,23.201587700052187,,,,,,,,23.186180100077763,23.1865880000405,23.186605300055817,23.201587700052187,23.201587700052187,23.201587700052187,23.201587700052187,23.401371300104074,24.201279500033706,24.701796900015324,24.701796900015324,24.701796900015324,24.701796900015324,25.20160820009187,25.70142590010073,25.685963400057517,None,0,001,1,0,2023-11-10_12h43.09.984,simon_task_simple,2023.2.2,59.91751753113244,2023-11-10 12h43.21.560277 +0000,
