condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,left_image.started,right_image.started,resp.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,ITI.started,left_image.stopped,right_image.stopped,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.0431343000382185,0.1243060000706464,3.318082800018601,space,3.1905623000347987,None,,,,,,,,,,,,,,,,,,,,,001,1,,2023-11-10_11h23.37.926,simon_task_simple,2023.2.2,59.96864838925864,2023-11-10 11h23.49.133431 +0000,
congruent,X,0,0,0,2,3.333094700006768,,,,,,,,3.3211848000064492,3.3216461000265554,3.3216644000494853,3.333094700006768,3.333094700006768,3.333094700006768,3.333094700006768,3.333094700006768,3.533945200033486,4.833166800090112,4.833166800090112,4.833166800090112,4.833166800090112,4.833166800090112,4.833166800090112,5.334606100106612,5.8331189000746235,5.817697200109251,None,0,001,1,0,2023-11-10_11h23.37.926,simon_task_simple,2023.2.2,59.96864838925864,2023-11-10 11h23.49.133431 +0000,
congruent,O,0,1,1,3,5.8331189000746235,,,,,,,,5.818330500042066,5.818780600093305,5.818800100008957,5.8331189000746235,5.8331189000746235,5.8331189000746235,5.8331189000746235,5.8331189000746235,6.033926600008272,7.3334948000265285,7.3334948000265285,7.3334948000265285,7.317585400072858,7.3334948000265285,7.3334948000265285,7.95067170006223,8.316313600051217,8.300880900002085,None,0,001,1,0,2023-11-10_11h23.37.926,simon_task_simple,2023.2.2,59.96864838925864,2023-11-10 11h23.49.133431 +0000,
,,,,,,8.316313600051217,,,,,,,,8.30142470006831,8.301971500040963,8.30199370009359,8.316313600051217,8.316313600051217,8.316313600051217,8.316313600051217,8.316313600051217,8.517289800103754,,,,,,,,,,,,,,,,,,,,
