condition,stim,left_color_stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,resp.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,ITI.started,resp.stopped,simon_trial.stopped,resp.keys,resp.corr,ITI.stopped,trial_instructions.started,key_instruct_2.started,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.0032963999547064304,0.08631279971450567,1.5221520997583866,space,1.421736900229007,None,,,,,,,,,,,,,,,,,,,001,1,0,2023-10-26_15h03.08.952,simon_task,2023.2.2,60.25856945605583,2023-10-26 15h03.20.700050 +0100,
congruent,X,blue,0,0,0,0,1.5375350001268089,,,,,,,,1.526951499748975,1.527384199667722,1.5274005997925997,1.5375350001268089,1.5375350001268089,1.5375350001268089,1.7381851999089122,3.038832299876958,3.038832299876958,3.038832299876958,3.038832299876958,3.5382717000320554,4.038270399905741,None,0,,,,001,1,0,2023-10-26_15h03.08.952,simon_task,2023.2.2,60.25856945605583,2023-10-26 15h03.20.700050 +0100,
congruent,O,blue,0,1,1,1,4.070318299811333,,,,,,,,4.045864500105381,4.0466984999366105,4.04672159999609,4.070318299811333,4.070318299811333,4.070318299811333,4.2542900000698864,5.571411400102079,5.571411400102079,5.571411400102079,5.554550999775529,6.055153199937195,6.5398336998187006,None,0,6.554635900072753,,,001,1,0,2023-10-26_15h03.08.952,simon_task,2023.2.2,60.25856945605583,2023-10-26 15h03.20.700050 +0100,
congruent,X,blue,1,0,2,0,6.554635900072753,,,,,,,,6.540615200065076,6.54123769979924,6.541266100015491,6.554635900072753,6.554635900072753,6.554635900072753,6.753928999882191,8.054349699988961,8.054349699988961,8.054349699988961,8.054349699988961,8.555295899976045,9.037602100055665,None,0,9.05438379989937,,,001,1,0,2023-10-26_15h03.08.952,simon_task,2023.2.2,60.25856945605583,2023-10-26 15h03.20.700050 +0100,
congruent,O,blue,1,1,3,1,9.05438379989937,,,,,,,,9.038042000029236,9.038481600116938,9.03849729988724,9.05438379989937,9.05438379989937,9.05438379989937,9.238418200053275,10.554433499928564,10.554433499928564,10.554433499928564,10.537942899856716,11.036411999724805,11.522219799924642,None,0,11.538105600047857,,,001,1,0,2023-10-26_15h03.08.952,simon_task,2023.2.2,60.25856945605583,2023-10-26 15h03.20.700050 +0100,
congruent,X,blue,2,0,4,0,11.538105600047857,,,,,,,,11.522773999720812,11.523277299944311,11.52329759998247,11.538105600047857,11.538105600047857,11.538105600047857,11.740418300032616,13.036632999777794,13.036632999777794,13.036632999777794,13.036632999777794,13.55438659992069,14.023198399692774,None,0,14.037267399951816,,,001,1,0,2023-10-26_15h03.08.952,simon_task,2023.2.2,60.25856945605583,2023-10-26 15h03.20.700050 +0100,
congruent,O,blue,2,1,5,1,14.037267399951816,,,,,,,,14.02388420002535,14.024337999988347,14.024361699819565,14.037267399951816,14.037267399951816,14.037267399951816,14.236880300100893,15.537271900102496,15.537271900102496,15.537271900102496,15.537271900102496,16.037491099908948,16.523060099687427,None,0,16.537327100057155,,,001,1,0,2023-10-26_15h03.08.952,simon_task,2023.2.2,60.25856945605583,2023-10-26 15h03.20.700050 +0100,
congruent,X,blue,3,0,6,0,16.537327100057155,,,,,,,,16.523689799942076,16.524296599905938,16.52432580012828,16.537327100057155,16.537327100057155,16.537327100057155,16.73805919988081,18.038839200045913,18.038839200045913,18.038839200045913,18.038839200045913,18.539154400117695,19.023562599904835,None,0,19.053212499711663,,,001,1,0,2023-10-26_15h03.08.952,simon_task,2023.2.2,60.25856945605583,2023-10-26 15h03.20.700050 +0100,
congruent,O,blue,3,1,7,1,19.053212499711663,,,,,,,,19.024348800070584,19.02518039988354,19.025213500019163,19.053212499711663,19.053212499711663,19.053212499711663,19.239385299850255,20.555064300075173,20.555064300075173,20.555064300075173,20.538098299875855,21.05438040010631,21.523622799664736,None,0,21.536921999882907,,,001,1,0,2023-10-26_15h03.08.952,simon_task,2023.2.2,60.25856945605583,2023-10-26 15h03.20.700050 +0100,
congruent,X,blue,4,0,8,0,21.536921999882907,,,,,,,,21.524463799782097,21.52511249994859,21.525145099963993,21.536921999882907,21.536921999882907,21.536921999882907,21.737577700056136,23.038065299857408,23.038065299857408,23.038065299857408,23.038065299857408,23.537870099768043,24.021870899945498,None,0,24.03684959979728,,,001,1,0,2023-10-26_15h03.08.952,simon_task,2023.2.2,60.25856945605583,2023-10-26 15h03.20.700050 +0100,
congruent,O,blue,4,1,9,1,24.03684959979728,,,,,,,,24.022370500024408,24.02292629983276,24.02294800011441,24.03684959979728,24.03684959979728,24.03684959979728,24.220416099764407,25.537535399664193,25.537535399664193,25.537535399664193,25.537535399664193,26.021376200020313,26.521577700041234,None,0,26.53724419977516,,,001,1,0,2023-10-26_15h03.08.952,simon_task,2023.2.2,60.25856945605583,2023-10-26 15h03.20.700050 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.521879700012505,26.53724419977516,,,,,,,,,
