condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,Instruction_image.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,resp.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,ITI.started,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,trial_instructions.started,key_instruct_2.started,trial_instructions_image.started,trial_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
congruent,O,1,3,13,7,,,,,57.52027739999903,,,,,,,,,57.50589179999952,57.506230199998754,57.50624959999914,57.52027739999903,57.52027739999903,57.52027739999903,57.72032079999917,59.02072829999997,59.02072829999997,59.02072829999997,59.02072829999997,59.52119899999889,60.020341199999166,60.00517909999871,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,O,1,4,14,5,,,,,60.020341199999166,,,,,,,,,60.00579110000035,60.00641859999996,60.00644579999971,60.020341199999166,60.020341199999166,60.020341199999166,60.223081099999035,61.52062189999924,61.52062189999924,61.52062189999924,61.52062189999924,62.037446599999384,62.520396699999765,62.50458069999877,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,O,1,5,15,3,,,,,62.520396699999765,,,,,,,,,62.50500379999903,62.50545789999887,62.505477799999426,62.520396699999765,62.520396699999765,62.520396699999765,62.72058359999937,64.02137009999933,64.02137009999933,64.02137009999933,64.02137009999933,64.52085950000037,65.02025719999983,65.00491479999982,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,O,1,6,16,1,,,,,65.02025719999983,,,,,,,,,65.00543329999891,65.00602219999928,65.00604629999907,65.02025719999983,65.02025719999983,65.02025719999983,65.22133570000005,66.52071249999972,66.52071249999972,66.52071249999972,66.52071249999972,67.02206339999975,67.52026689999911,67.50488889999906,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,X,1,7,17,0,,,,,67.52026689999911,,,,,,,,,67.50545489999968,67.50602199999958,67.50604509999903,67.52026689999911,67.52026689999911,67.52026689999911,67.72099089999938,69.02182379999977,69.02182379999977,69.02182379999977,69.02182379999977,69.52050149999923,,70.019959199999,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,X,1,8,18,6,,,,,70.0365759999986,,,,,,,,,70.02044139999998,70.02105019999908,70.02107230000001,70.0365759999986,70.0365759999986,70.0365759999986,70.23688909999873,71.53741009999976,71.53741009999976,71.53741009999976,71.52045459999863,72.03678369999943,72.51962379999895,72.50431449999996,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,O,1,9,19,9,,,,,72.51962379999895,,,,,,,,,72.50475159999951,72.50530079999953,72.50532089999979,72.51962379999895,72.51962379999895,72.51962379999895,72.7201847999986,74.02122699999927,74.02122699999927,74.02122699999927,74.02122699999927,74.52105419999862,75.02003390000027,75.00458739999885,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.00489000000016,75.02003390000027,75.02003390000027,80.99149799999941,space,5.967326999998477,None,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
incongruent,X,,,,,0,0,0,0,81.00213230000008,,,,,,,,,80.99632349999956,80.99666900000011,80.99668240000028,81.00213230000008,81.00213230000008,81.00213230000008,81.20256859999972,82.50310369999897,82.50310369999897,82.50310369999897,82.50310369999897,83.00302389999888,83.50308849999965,83.48848589999943,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,O,,,,,0,1,1,11,83.50308849999965,,,,,,,,,83.48950499999955,83.49012760000005,83.49015080000027,83.50308849999965,83.50308849999965,83.50308849999965,83.7032593999993,85.00290489999861,85.00290489999861,85.00290489999861,85.00290489999861,85.50284089999877,86.00206619999881,85.98728149999988,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
