condition,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,resp.started,ITI.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,ITI.stopped,resp.stopped,simon_trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
incongruent,X,0,0,0,0,0.050317700020968914,,0.023611499927937984,0.024235599674284458,0.024255699943751097,0.050317700020968914,0.050317700020968914,0.050317700020968914,0.23368889978155494,1.034341000020504,1.0508028999902308,1.0508028999902308,1.0508028999902308,2.034652499947697,2.034652499947697,2.018693699967116,z,0,0.7612030999734998,None,001,1,0,2023-10-25_15h23.10.554,simon_task,2023.2.2,59.60011898355843,2023-10-25 15h23.24.121960 +0100,
congruent,X,0,1,1,1,2.034652499947697,,2.0201393999159336,2.0207524998113513,2.0207765996456146,2.034652499947697,2.034652499947697,2.034652499947697,2.233866799622774,3.0349189997650683,3.052008599974215,3.052008599974215,3.052008599974215,,4.035817899741232,4.0360864996910095,m,1,0.3010860001668334,None,001,1,0,2023-10-25_15h23.10.554,simon_task,2023.2.2,59.60011898355843,2023-10-25 15h23.24.121960 +0100,
incongruent,O,0,2,2,2,4.050341599620879,,4.037020799703896,4.037768299691379,4.037792299874127,4.050341599620879,4.050341599620879,4.050341599620879,4.250993499998003,5.051641399972141,5.051641399972141,5.051641399972141,5.051641399972141,6.0503635997883976,6.0503635997883976,6.037043799646199,m,0,0.18280860036611557,None,001,1,0,2023-10-25_15h23.10.554,simon_task,2023.2.2,59.60011898355843,2023-10-25 15h23.24.121960 +0100,
congruent,O,0,3,3,3,6.0503635997883976,,6.038209099788219,6.038873299956322,6.038894199766219,6.0503635997883976,6.0503635997883976,6.0503635997883976,6.250359799712896,7.050745399668813,7.050745399668813,7.050745399668813,7.050745399668813,8.050511199980974,8.050511199980974,8.036296299658716,m,0,0.10772470012307167,None,001,1,0,2023-10-25_15h23.10.554,simon_task,2023.2.2,59.60011898355843,2023-10-25 15h23.24.121960 +0100,
incongruent,X,1,0,4,0,8.050511199980974,,8.037137599661946,8.037751599680632,8.037776299752295,8.050511199980974,8.050511199980974,8.050511199980974,8.250423199962825,9.050974200014025,9.050974200014025,9.050974200014025,9.050974200014025,10.051287299953401,10.051287299953401,10.035863599739969,z,0,0.4427413996309042,None,001,1,0,2023-10-25_15h23.10.554,simon_task,2023.2.2,59.60011898355843,2023-10-25 15h23.24.121960 +0100,
congruent,X,1,1,5,1,10.051287299953401,,10.03659479971975,10.037248899694532,10.037274799775332,10.051287299953401,10.051287299953401,10.051287299953401,10.249928399920464,11.051513499580324,11.066829700022936,11.066829700022936,11.066829700022936,,12.050478399731219,12.050600899849087,m,1,0.19021760020405054,None,001,1,0,2023-10-25_15h23.10.554,simon_task,2023.2.2,59.60011898355843,2023-10-25 15h23.24.121960 +0100,
incongruent,O,1,2,6,2,12.066654899623245,,12.05124960001558,12.05191079992801,12.051937399897724,12.066654899623245,12.066654899623245,12.066654899623245,12.266180999577045,13.066853899974376,13.066853899974376,13.066853899974376,13.066853899974376,14.066207399591804,14.066207399591804,14.051586200017482,m,0,0.17458760039880872,None,001,1,0,2023-10-25_15h23.10.554,simon_task,2023.2.2,59.60011898355843,2023-10-25 15h23.24.121960 +0100,
congruent,O,1,3,7,3,14.066207399591804,,14.052307599689811,14.052812399808317,14.05283059971407,14.066207399591804,14.066207399591804,14.066207399591804,14.266358199995011,15.066859900020063,15.066859900020063,15.066859900020063,15.066859900020063,16.06663699960336,16.06663699960336,16.050571899861097,z,1,0.1381415999494493,None,001,1,0,2023-10-25_15h23.10.554,simon_task,2023.2.2,59.60011898355843,2023-10-25 15h23.24.121960 +0100,
